First Launched,Last Used,Location ID,Location Name,Neighbourhood,City,Region,Latitude,Longitude,,Notes:
6/8/17 10:30,,553,Richmond Hospital,Richmond,Richmond,Lower Mainland,49.16812,-123.147438,,"Blanks under ""First Launched"" were locations in use on October 1st, 2001, when our data begin."
6/6/17 13:45,,588,Gorge Washington,Burnside,Victoria,Greater Victoria,48.442409,-123.381756,,"Blanks under ""Last Used"" are locations in use as of June 8th, 2017."
6/5/17 14:15,,581,Acadia Commons Block,East Campus,UBC,Lower Mainland,49.262815,-123.236844,,
6/3/17 13:45,,587,Bayshore & Cardero,Coal Harbour,Vancouver,Lower Mainland,49.291348,-123.129413,,
6/1/17 14:15,,584,Eveleigh,Coal Harbour,Vancouver,Lower Mainland,49.286898,-123.120532,,
6/1/17 13:30,,585,Sidney Town Hall,Sidney,Sidney,Greater Victoria,48.650693,-123.398998,,
6/1/17 13:30,,586,Sidney Fire Hall,Sidney,Sidney,Greater Victoria,48.649414,-123.39778,,
6/1/17 12:00,,549,Red Alder Trail,Killarney,Vancouver,Lower Mainland,49.209342,-123.02859,,
5/29/17 12:30,,579,1067 Seymour,Downtown Vancouver,Vancouver,Lower Mainland,49.278009,-123.123213,,
5/24/17 9:00,,578,Oak Bay Rec Centre,Oak Bay,Oak Bay,Greater Victoria,48.431148,-123.321391,,
5/19/17 14:30,,577,Royal Oak Safeway,Royal Oak,Burnaby,Lower Mainland,49.225004,-122.988055,,
5/18/17 8:45,,575,Kamloops & Broadway,Hastings-Sunrise,Vancouver,Lower Mainland,49.262222,-123.054645,,
5/17/17 17:15,,576,Expo Boulevard,Yaletown,Vancouver,Lower Mainland,49.274301,-123.116827,,
5/17/17 12:15,,573,West Parkade,Main Campus,UBC,Lower Mainland,49.262751,-123.255363,,
5/17/17 12:15,,574,Rose Garden Parkade,Main Campus,UBC,Lower Mainland,49.269443,-123.256546,,
5/15/17 17:45,,507,Telus Garden Residences,Downtown Vancouver,Vancouver,Lower Mainland,49.280619,-123.11756,,
5/12/17 17:15,,557,W 15th & Granville,Fairview,Vancouver,Lower Mainland,49.257937,-123.137796,,
5/12/17 16:00,,568,Kaslo & Charles,Hastings-Sunrise,Vancouver,Lower Mainland,49.273137,-123.046925,,
5/5/17 15:00,5/26/17 15:00,572,Burnside & Finlayson,Burnside,Victoria,Greater Victoria,48.44385,-123.3724,,
5/1/17 14:45,,559,Grindstone Cafe,Downtown Victoria,Victoria,Greater Victoria,48.43048,-123.369497,,
5/1/17 0:00,,560,Departure Bay Ferry,Newcastle,Nanaimo,Nanaimo,49.188597,-123.951027,,
5/1/17 0:00,,561,Port Place Mall,Nanaimo City Centre,Nanaimo,Nanaimo,49.164261,-123.934194,,
5/1/17 0:00,,562,Prideaux Exchange,Nanaimo City Centre,Nanaimo,Nanaimo,49.163592,-123.942808,,
5/1/17 0:00,,563,Pacific Gardens Cohousing,Harewood,Nanaimo,Nanaimo,49.146972,-123.941292,,
4/24/17 15:00,,547,Mount Saint Joseph - West Entrance,Mount Pleasant,Vancouver,Lower Mainland,49.25756,-123.096406,,
