"","Hash","Start","End","Latitude","Longitude","location_counter"
"25886","cd5e3e20ff","5/1/17 0:00","",49.2643079012998,-123.137655151031,24
"25887","282e8ba5c7","5/1/17 0:00","6/1/17 0:00",48.5012029822135,-123.37797450129,0
"25888","277a74c3ed","5/1/17 0:00","",48.4098176125068,-123.515241079811,0
"25889","fece0289d6","5/1/17 0:00","",49.2610026209096,-123.093394939356,24
"25891","f86b35f58c","5/1/17 0:00","",49.2671231068546,-123.162202793458,21
"25892","cd69cfba01","5/1/17 0:00","",49.2559898086359,-123.145724969844,12
"25893","4d5cc13932","5/1/17 0:00","",49.228499789595,-123.063960548067,1
"25894","ceaad58eb2","5/1/17 0:00","",49.2590094785135,-123.118087846697,26
"25895","013f001e58","5/1/17 0:00","",49.2188915122763,-122.957200263046,3
"25896","d70bab87d3","5/1/17 0:00","",49.2308624853783,-123.007227999751,6
"25897","e600e59558","5/1/17 0:00","",49.2713524004756,-123.013605037996,4
"25898","ca1d06c30a","5/1/17 0:00","",49.228987580606,-122.893385865071,3
"25899","d845a12422","5/1/17 0:00","",49.2622499062689,-122.909980917067,1
"25900","bf29fc8a6c","5/1/17 0:00","",48.4385674187304,-123.521699275684,0
"25901","0e55582d7f","5/1/17 0:00","",49.2450450207905,-123.073081684858,7
"25902","98a449eeeb","5/1/17 0:00","",49.2836361463821,-123.130458613081,65
"25903","ab912760a9","5/1/17 0:00","5/1/17 0:00",49.280230228323,-123.019895347009,3
"25904","688528a583","5/1/17 0:00","",49.2711346036399,-123.008409391042,5
"25905","018ed24c12","5/1/17 0:00","5/1/17 0:00",49.2574033142734,-123.12963352431,20
"25906","782ffd51c5","5/1/17 0:00","",49.2415298718935,-123.100196960336,7
"25907","4ead2ec09b","5/1/17 0:00","5/1/17 0:00",49.1700400878739,-123.142465456197,5
"25908","08ca3ecc98","6/1/17 0:00","",49.1141020993296,-122.839057962158,0
"25909","427bde351f","5/1/17 0:00","",49.2541282082957,-123.066115993581,11
"25910","55f7b07398","5/1/17 0:00","",49.1931505715973,-122.926041623063,1
"25911","5fa14ca466","5/1/17 0:00","",48.4402037248838,-123.347192674544,1
"25912","82f769c1c8","5/1/17 0:00","",49.270673948909,-122.878522074662,0
"25913","e55c95e735","5/1/17 0:00","",49.2466328150495,-123.180108949379,2
"25914","1d5417a3b1","5/1/17 0:00","",49.2611960178497,-122.782997561923,0
"25915","3916e0f1ae","5/1/17 0:00","",49.1778932487907,-122.835469454941,2
"25916","7daaec23b0","5/1/17 0:00","",49.2077190143213,-122.916141016251,13
"25917","9ae313ec00","5/1/17 0:00","",49.254621347295,-123.234952051674,13
"25918","ea7112057f","5/1/17 0:00","",49.2851791185524,-123.126902999494,62
"25919","b1313b7572","5/1/17 0:00","",49.2276098793795,-122.993193927707,6
"25920","54f04e6326","6/1/17 0:00","",48.472748453795,-123.33230916881,1
"25921","51c6651653","6/1/17 0:00","",49.2649194450624,-123.121547247519,26
"25922","2630542a43","5/1/17 0:00","",49.2348649505833,-123.0218535535,7
"25923","4faa533bc1","6/1/17 0:00","",49.2757820525696,-123.100135895207,25
"25924","653cc7f6b4","5/1/17 0:00","",48.4248953774218,-123.489787114857,0
"25925","3770264597","5/1/17 0:00","",48.4863396046684,-123.304662896859,0
"25926","82aea88449","5/1/17 0:00","",49.2723234569186,-123.103306404833,18
"25927","0d51fb48e1","5/1/17 0:00","",49.2787394016924,-123.131839156902,52
"25928","d234cfcdc8","5/1/17 0:00","",49.2384554804678,-123.162163958067,3
"25929","1f31669063","5/1/17 0:00","",49.3096715129197,-123.076079897117,5
"25930","27b8230018","5/1/17 0:00","",49.2815068068131,-123.123925631992,61
"25931","5ddab9b0a9","5/1/17 0:00","",48.4318719397766,-123.352457268995,8
"25932","65584473c1","5/1/17 0:00","",49.141796581225,-123.185241339735,0
"25933","206a4884a6","5/1/17 0:00","",49.2325693720521,-123.102949648445,5
"25934","ba169c1d3f","5/1/17 0:00","",48.6501152931398,-123.399889966718,2
"25935","d3069a8947","5/1/17 0:00","",49.2627397031497,-123.115199637173,26
"25936","94a0299b08","5/1/17 0:00","",49.2337758836857,-123.052181992704,3
"25937","53a799cb17","5/1/17 0:00","",49.274509339816,-123.148820319265,13
"25938","7a3805be71","5/1/17 0:00","",49.1834914214107,-123.979516013255,0
"25939","be8c6392e3","5/1/17 0:00","",49.2484144339371,-123.040658401501,2
"25940","34813e66e0","5/1/17 0:00","",49.25338250947,-123.106847473132,23
"25941","bf49221760","5/1/17 0:00","",49.2517563476259,-123.121389729472,12
"25942","8096c2491d","5/1/17 0:00","",49.2074722297944,-122.899411858573,4
"25943","7c82d03577","5/1/17 0:00","",49.3432594269664,-123.053350010003,0
"25944","1403f954e0","5/1/17 0:00","",49.262320047262,-123.072560981926,25
"25945","1aad2df0f3","5/1/17 0:00","",49.2703972767562,-123.157124799033,19
